[Header]
Measurement Name = "EQE"
File Path = "/C/Users/Administrador/Documents/Roberto CICATA/EQE/EQE.TRQ"
time stamp = "07/08/2009 11:02:30 a.m."
Scan Type = "QE Scan"
X Units = "Wavelength (nm)"
Y Units = "QE (%)"

//DATA//
X	Y	Calculated
740.005	0.22193	92.6202
741.998	0.21851	92.2058
743.99	0.20477	92.4844
746.014	0.1936	91.9854
748.003	0.19452	92.3337
749.99	0.198	92.7272
752.01	0.19409	92.2417
753.994	0.19037	92.5981
756.011	0.18781	92.1997
757.993	0.19159	92.4665
760.007	0.20288	92.6356
761.985	0.27576	92.4608
763.996	0.36432	92.0658
766.006	0.26099	91.1582
768.013	0.18598	91.8134
769.986	0.16315	91.8176
771.991	0.15296	92.4435
773.995	0.14313	92.1265
775.997	0.13556	92.111
777.997	0.1319	92.5562
779.996	0.13208	92.9092
781.993	0.13263	91.6097
783.989	0.13031	91.5862
786.016	0.13629	92.4372
788.009	0.16675	92.7176
790	0.16803	91.1561
791.99	0.14258	91.8938
794.011	0.13904	92.194
795.998	0.15735	91.6973
798.016	0.16229	91.3842
799.999	0.15002	91.629
802.014	0.13794	91.5921
803.994	0.13355	91.8446
806.006	0.13806	91.9404
808.016	0.14465	91.896
809.991	0.14667	91.9435
811.998	0.14661	91.5963
814.003	0.1499	91.6213
816.007	0.16394	90.8422
818.009	0.21271	92.3878
820.009	0.46051	92.1369
822.008	1.09217	91.8827
824.005	1.09217	91.4827
826	0.90253	91.0827
827.993	0.82453	90.932
829.985	0.40631	90.3154
832.008	0.35114	91.9057
833.997	0.5517	90.6499
836.016	0.38001	90.2186
838.001	0.21765	91.8141
839.985	0.27667	90.9277
841.999	0.22016	91.1486
844.011	0.12122	90.7878
845.99	0.09906	91.2008
847.999	0.09131	91.1985
850.006	0.08887	90.8367
852.011	0.08984	90.8357
854.015	0.09265	90.6932
855.985	0.09735	90.8815
857.985	0.10339	91.1829
860.015	0.10504	90.3093
862.012	0.11163	91.0282
864.007	0.12848	90.7081
866	0.14386	90.2762
867.991	0.15589	89.61132
870.012	0.17731	90.6786
872	0.20313	90.3922
873.986	0.23096	90.5551
876.001	0.26807	90.0578
878.015	0.43323	89.31013
879.996	1.09217	89.23224
882.006	1.09217	89.63224
884.014	1.01624	89.43224
885.989	0.5514	89.23224
887.993	0.39014	89.01451
889.996	0.35285	89.21205
891.997	0.48554	89.13743
893.995	0.8971	89.3501
895.992	0.77991	88.14627
897.987	0.45319	88.12529
900.012	0.3382	88.37038
902.003	0.53534	89.04374
903.992	1.00996	88.14095
906.011	0.64496	88.09402
907.996	0.29279	88.23021
910.011	0.23865	88.64977
911.992	0.32306	89.22324
914.003	0.84418	88.5683
916.012	1.09217	87.94434
917.987	0.8498	87.44434
919.992	0.47528	87.11601
921.994	0.34271	87.18469
923.995	0.25965	88.10813
